001000001001010416001   5380     1    N                                                   5555555555555555                                                                                                                                                                                        
001000002001010416001   5380     1    N                                             11548 5555555555555555                                                                                                                                                                                        
001000003001010416001   5380     1    N                                   11548           4444444344345555                                                                                                                                                                                        
001000004001010416001   5380     1    N                                             11548 5555555555555434                                                                                                                                                                                        
001000005001010416001   5380     1    N                                             11548 5545555555555524                                                                                                                                                                                        
001000006001010416001   5380     1    N                                   11548           5555555555555555                                                                                                                                                                                        
001000007001010416001   5380     1    N                                             11548 5555554555555555                                                                                                                                                                                        
001000008001010416001   5380     1    N                                             11548 5555555555555555                                                                                                                                                                                        
001000009001010416001   5380     1    N                                             11548 5555554555445534                                                                                                                                                                                        
001000010001010416001   5380     1    N                                   11548           5555555445435253                                                                                                                                                                                        
001000011001010416001   5380     1    N                                             11548 4445543555445444                                                                                                                                                                                        
001000012001010416001   5380     1    N                                   11548           4455554555455555                                                                                                                                                                                        
001000013001010416001   5380     1    N                                                   5555555555555555                                                                                                                                                                                        
001000014001010416001   5380     1    N                                                   5535344555555534                                                                                                                                                                                        

